KEY,en,notes,sp,fr,de,it,pt-br,zh
EABILITY_HOLYBLAST_NAME,神聖爆發,,Explosión sagrada,Explosion sacrée,Heilige Explosion,Esplosione Sacra,Explosão Sagrada,神聖爆發
EABILITY_PRECOGNITION_NAME,預知,,Premonición,Prémonition,Vorausahnung,Precognizione,Predição,預知
EABILITY_ANNIHILATION_NAME,消滅,,Aniquilación,Annihilation,Vernichtung,Annientamento,Aniquilação,消滅
EABILITY_RISE_NAME,崛起,,Levantamiento,Ascension,Erheben,Ascesa,Elevação,崛起
EABILITY_PURITY_NAME,純淨,,Pureza,Pureté,Reinheit,Purezza,Pureza,純淨
EABILITY_WRATH_NAME,憤怒,,Ira,Courroux,Zorn,Ira,Ira,憤怒
EABILITY_PULSE_NAME,脈衝,,Pulso,Pulsation,Puls,Impulso,Pulso,脈衝
EABILITY_SLAM_NAME,猛擊,,Porrazo,Écrasement,Aufschlag,Schianto,Batida,猛擊
EABILITY_TOSS_NAME,投擲,,Lanzamiento,Lancer,Wurf,Lancio,Lançamento,投擲
EABILITY_GASP_NAME,喘息,,Bocanada,Exclamation,Keuchen,Sussulto,Engasgo,喘息
EABILITY_RAGE_NAME,狂怒,,Rabia,Rage,Rage,Rabbia,Raiva,狂怒
EABILITY_TANTRUM_NAME,發脾氣,,Rabieta,Caprice,Wutanfall,Capriccio,Birra,發脾氣
EABILITY_CALL_NAME,召喚,,Llamada,Appel,Ruf,Richiamo,Chamado,召喚
EABILITY_SPIT_NAME,唾棄,,Escupitajo,Crachat,Ausspucken,Sputo,Cuspe,唾棄
EABILITY_BELLYPOUND_NAME,腹部重擊,,Barrigazo,Tambourinage de bide,Bauchtrommel,Sbatacchiamento di Pancia,Barrigada,腹部重擊
EABILITY_DIGEST_NAME,消化,,Digestión,Digestion,Verdauen,Digestione,Digestão,消化
EABILITY_HEADCHARGE_NAME,頭錘,,Cabezazo,Tête en avant,Kopfansturm,Carica di Testa,Cabeçada,頭錘
EABILITY_SHRIEK_NAME,尖叫,,Chillido,Cri perçant,Kreischen,Stridio,Guincho,尖叫
EABILITY_SCREAM_NAME,尖叫,,Grito,Cri,Schrei,Urlo,Grito,尖叫
EABILITY_SHAKE_NAME,搖晃,,Sacudida,Secousse,Schütteln,Scuotimento,Tremor,搖晃
EABILITY_COUGH_NAME,咳嗽,,Tos,Toux,Husten,Tosse,Tosse,咳嗽
EABILITY_PRISON_NAME,監獄,,Prisión,Prison,Gefängnis,Prigione,Prisão,監獄
EABILITY_SPINTHROW_NAME,旋轉投擲,,Lanzamiento giratorio,Lancer toupie,Drehwurf,Lancio Rotante,Lançamento Giratório,旋轉投擲
EABILITY_FIRESTORM_NAME,烈焰風暴,,Tormenta de fuego,Tempête de feu,Feuersturm,Tempesta di Fuoco,Tempestade de Fogo,烈焰風暴
EABILITY_FIREBREATH_NAME,火焰吐息,,Aliento de fuego,Souffle de feu,Feueratem,Soffio di Fuoco,Hálito Flamejante,火焰吐息
EABILITY_VOLCANOSTOMP_NAME,火山踐踏,,Pisotón volcánico,Piétinement volcanique,Vulkanstampfer,Pestone Vulcanico,Pisão de Vulcão,火山踐踏
EABILITY_SPINDASH_NAME,旋轉衝刺,,Carrera giratoria,Charge tournoyante,Drehsturm,Scatto Rotante,Impulso Giratório,旋轉衝刺
EABILITY_METEORNADO_NAME,隕石旋風,,Meteornado,Météornade,Meteornado,Meteornado,Meteoronado,隕石旋風
EABILITY_TURTLE_NAME,海龜,,Tortuga,Tortue,Panzerschutz,Tartaruga,Tartaruga,海龜
EABILITY_MAGNETPULL_NAME,磁力拉扯,,Atracción magnética,Attirance magnétique,Magnetzug,Attrazione Magnetica,Atração Magnética,磁力拉扯
EABILITY_METEORBOMBARD_NAME,隕石轟炸,,Bombardeo de meteoritos,Bombardement météore,Meteorbeschuss,Bombardamento Meteoritico,Bombardeio de Meteoros,隕石轟炸
EABILITY_HSULF_NAME,Hsulf,"""Flush"" backwards (for chaos boss) [backwards version of flushmaster Flush]",Anretsic,Odessahc,Gnulüps,Enouqcaics,Agracsed,Hsulf
EABILITY_TSALBDNIMAGEM_NAME,Tsalb Dnim Agem,"""Mega Mind Blast"" backwards (for chaos boss) [backwards version of johnny's Mega Mind Blast]",Latnem nóisolpxeagem,Euqihcysp epparf agèm,Noisolpxeneknadeg Egiseir,Elatnem Enoisolpse Agem,Latnem Oãsolpxe Agem,Tsalb Dnim Agem
EABILITY_TUODAERPS_NAME,Tuo Daerps.,"""Spread Out"" backwards (for chaos boss) [backwards version of throbbing king's Spread Out]",Adadnabsed,Suov-zesrepsid.,Nelietrev.,Ivetailgapraps.,Otnemahlapse,Tuo Daerps.
EABILITY_THROWGRENADE_NAME,投擲手榴彈,,Lanzamiento de granada,Lancer de grenade,Granate werfen,Lancio di Granata,Lançar Granada,投擲手榴彈
EABILITY_SNIPER_NAME,狙擊手,,Tiro de francotirador,Sniper,Scharfschütze,Cecchino,Sniper,狙擊手
EABILITY_BOULDERDROP_NAME,巨石墜落！,,¡Peñasco va!,Lancer de rocher,Steinschlag!,Caduta Massi!,Pedrada!,巨石墜落！
EABILITY_T3RIPANDTEAR_NAME,Auseinanderreißen,,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen
EABILITY_ROULETTE_NAME,輪盤賭。,,Ruleta,Roulette.,Roulette.,Roulette.,Roleta.,輪盤賭。
EABILITY_KNEEL_NAME,跪下。,,Postración,À genoux.,Kniet nieder.,Inginocchiatevi.,Ajoelhar.,跪下。
EABILITY_GOAWAY_NAME,走開。,,Distanciamiento,Dégage.,Aus meinen Augen.,Andatevene.,Partida.,走開。
EABILITY_SPREADOUT_NAME,散開。,,Desbandada,Dispersez-vous.,Verteilt euch.,Sparpagliatevi.,Espalhamento.,散開。
EABILITY_VOMITRAIN_NAME,嘔吐雨,,Lluvia de vómito,Pluie de vomi,Kotzregen,Pioggia di Vomito,Chuva de Vômito,嘔吐雨
EABILITY_SPAWNBOMB_NAME,生成炸彈,,Generación de bomba,Invocation de bombe,Bombe werfen,Generazione Bomba,Gerar Bomba,生成炸彈
EABILITY_SPAWNRAT_NAME,生成老鼠,,Generación de rata,Invocation de rat,Ratte rufen,Generazione Ratto,Gerar Rato,生成老鼠
EABILITY_CUT_NAME,切割,,Corte,Coupure,Ritzen,Taglio,Corte,切割
EABILITY_HEAL_NAME,治療,,Curación,Soin,Heilung,Cura,Cura,治療
EABILITY_TRAMPLEDASH_NAME,踐踏衝刺,,Carrera con pisotón,Charge bélier,Trampelansturm,Scatto Travolgente,Atropelamento,踐踏衝刺
EABILITY_RAGEUP_NAME,狂怒提升,,Rabia aumentada,Fureur,Wut hoch,Furia +,Enfurecer,狂怒提升
EABILITY_DUSTDASH_NAME,塵埃衝刺,,Carrera polvorienta,Charge poussiéreuse,Staubansturm,Scatto di Polvere,Impulso de Poeira,塵埃衝刺
EABILITY_SPELLSHIELD_NAME,魔法盾,,Escudo antihechizos,Bouclier magique,Zauberschild,Scudo Magico,Escudo Encantado,魔法盾
EABILITY_FLAMETHROWER_NAME,火焰噴射器,,Lanzallamas,Lance-flammes,Flammenwerfer,Lanciafiamme,Lança-Chamas,火焰噴射器
EABILITY_WIZBLIZZ_NAME,巫師暴風雪,,Viento embrujado,Blizzard magique,Zauberschnee,Bufera Magica,Nevascaria,巫師暴風雪
EABILITY_WIZSTORM_NAME,xXx_Thunder_xXx,,xXx_Trueno_xXx,xXx_Tonnerre_xXx,xXx_Donner_xXx,xXx_Tuono_xXx,xXx_Trovão_xXx,xXx_Thunder_xXx
EABILITY_SWIPE_NAME,揮擊,,Golpe,Baffe,Schlag,Zampata,Passada,揮擊
EABILITY_BITE_NAME,咬,,Mordisco,Morsure,Biss,Morso,Mordida,咬
EABILITY_GEMINADO_NAME,雙重,,Geminado,Tornades jumelles,Geminado,Geminado,Geminado,雙重
EABILITY_SUICIDEMELEE_NAME,近戰攻擊,,Ataque cuerpo a cuerpo,Attaque au corps à corps,Nahkampfangriff,Attacco Corpo a Corpo,Ataque Corpo-a-Corpo,近戰攻擊
EABILITY_SUICIDEMELEE_DESC,一種近戰攻擊，也會傷害自己。,,Un ataque cuerpo a cuerpo que también daña a esta unidad.,Une attaque au corps à corps qui vous inflige également des dégâts.,"Ein Nahkampfangriff, der dir auch selbst Schaden zufügt.",Un attacco corpo a corpo che danneggia anche te.,Um ataque corpo-a-corpo que também causa dano a você.,一種近戰攻擊，也會傷害自己。
EABILITY_SPAWNMAGGOT_NAME,生成蛆,,Generación de gusano,Invocation d'asticot,Made rufen,Generazione Larva,Gerar Verme,生成蛆
EABILITY_SPAWNMAGGOTS_NAME,生成蛆蟲,,Generación de gusanos,Invocation d'asticots,Maden rufen,Generazione Larve,Gerar Vermes,生成蛆蟲
EABILITY_SPAWNFLEA_NAME,生成跳蚤,,Generación de pulga,Invocation de puce,Floh rufen,Generazione Pulce,Gerar Pulga,生成跳蚤
