KEY,en,notes,sp,fr,de,it,pt-br,zh
CLASS_UNLOCK_MEDIC,"""牧师项圈"" 现在可用！",,¡Ya está disponible el collar de clérigo!,«&nbsp;Collier de Sage&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Kleriker“!,"È ora disponibile il ""Collare del Chierico""!","Nova coleira disponível: ""clérigo""!","""牧師項圈"" 現在可用！"
CLASS_UNLOCK_THIEF,"""盗贼项圈"" 现在可用！",,¡Ya está disponible el collar de ladrón!,«&nbsp;Collier de Fourbe&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Dieb“!,"È ora disponibile il ""Collare del Ladro""!","Nova coleira disponível: ""ladrão""!","""盜賊項圈"" 現在可用！"
CLASS_UNLOCK_NECROMANCER,"""死灵法师项圈"" 现在可用！",,¡Ya está disponible el collar de nigromante!,«&nbsp;Collier d'Occultiste&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Totenbeschwörer“!,"È ora disponibile il ""Collare del Necromante""!","Nova coleira disponível: ""necromante""!","""死靈法師項圈"" 現在可用！"
CLASS_UNLOCK_BUTCHER,"""屠夫项圈"" 现在可用！",,¡Ya está disponible el collar de carnicero!,«&nbsp;Collier de Barbare&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Schlachter“!,"È ora disponibile il ""Collare del Macellaio""!","Nova coleira disponível: ""açougueiro""!","""屠夫項圈"" 現在可用！"
CLASS_UNLOCK_PSYCHIC,"""通灵项圈"" 现在可用！",,¡Ya está disponible el collar de ocultista!,«&nbsp;Collier de Médium&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Medium“!,"È ora disponibile il ""Collare dello Psionico""!","Nova coleira disponível: ""psíquico""!","""通靈項圈"" 現在可用！"
CLASS_UNLOCK_TINKERER,"""修补匠项圈"" 现在可用！",,¡Ya está disponible el collar de manitas!,«&nbsp;Collier de Scientifique&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Bastler“!,"È ora disponibile il ""Collare dell'Inventore""!","Nova coleira disponível: ""artífice""!","""修補匠項圈"" 現在可用！"
CLASS_UNLOCK_DRUID,"""德鲁伊项圈"" 现在可用！",,¡Ya está disponible el collar de druida!,«&nbsp;Collier de Druide&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Druide“!,"È ora disponibile il ""Collare del Druido""!","Nova coleira disponível: ""druida""!","""德魯伊項圈"" 現在可用！"
CLASS_UNLOCK_MONK,"""修道士项圈"" 现在可用！",,¡Ya está disponible el collar de monje!,«&nbsp;Collier de Moine&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Mönch“!,"È ora disponibile il ""Collare del Monaco""!","Nova coleira disponível: ""monge""!","""修道士項圈"" 現在可用！"
CLASS_UNLOCK_JESTER,"""小丑项圈"" 现在可用！",,¡Ya está disponible el collar de bufón!,«&nbsp;Collier de Joker&nbsp;» maintenant disponible !,Neues Halsband verfügbar: „Narr“!,"È ora disponibile il ""Collare del Giullare""!","Nova coleira disponível: ""curinga""!","""小丑項圈"" 現在可用！"
,,,,,,,,
