KEY,en,notes,sp,fr,de,it,pt-br,zh
PRONOUN_HE_LOWER,他,replaces {he} in other strings,él,il,er,lui,ele,他
PRONOUN_HE_UPPER,他,replaces {He} in other strings,Él,Il,Er,Lui,Ele,他
PRONOUN_HE_S_LOWER,他是,replaces {he's} in other strings,él,,er ist,lui è,ele está,他是
PRONOUN_HE_S_UPPER,他是,replaces {He's} in other strings,Él,,Er ist,Lui è,Ele está,他是
PRONOUN_HIS_LOWER,他的,replaces {his} in other strings,su,,sein,suo,dele,他的
PRONOUN_HIS_UPPER,他的,replaces {His} in other strings,Su,,Sein,Suo,Dele,他的
PRONOUN_HIM_LOWER,他,replaces {him} in other strings,él,lui,ihn,lui,a ele,他
PRONOUN_HIM_UPPER,他,replaces {Him} in other strings,Él,Lui,Ihn,Lui,A ele,他
PRONOUN_HIMSELF_LOWER,他自己,replaces {himself} in other strings,él,,er selbst,se stesso,si mesmo,他自己
PRONOUN_HIMSELF_UPPER,他自己,replaces {Himself} in other strings,Él,,Er selbst,Se stesso,Si mesmo,他自己
,,,,,,,,
PRONOUN_SHE_LOWER,她,replaces {he} in other strings,ella,elle,sie,lei,ela,她
PRONOUN_SHE_UPPER,她,replaces {He} in other strings,Ella,Elle,Sie,Lei,Ela,她
PRONOUN_SHE_S_LOWER,她是,replaces {he's} in other strings,ella,,sie ist,lei è,ela está,她是
PRONOUN_SHE_S_UPPER,她是,replaces {He's} in other strings,Ella,,Sie ist,Lei è,Ela está,她是
PRONOUN_HER_POSSESSIVE_LOWER,她,replaces {his} in other strings,su,,ihr,suo,dela,她
PRONOUN_HER_POSSESSIVE_UPPER,她,replaces {His} in other strings,Su,,Ihr,suo,Dela,她
PRONOUN_HER_LOWER,她,replaces {him} in other strings,su,elle,sie,lei,dela,她
PRONOUN_HER_UPPER,她,replaces {Him} in other strings,Su,Elle,Sie,lei,Dela,她
PRONOUN_HERSELF_LOWER,她自己,replaces {himself} in other strings,ella,,sie selbst,se stessa,si mesma,她自己
PRONOUN_HERSELF_UPPER,她自己,replaces {Himself} in other strings,Ella,,Sie selbst,Se stessa,Si mesma,她自己
,,,,,,,,
PRONOUN_THEY_LOWER,他们,replaces {he} in other strings,él,iel,er,loro,eles,他們
PRONOUN_THEY_UPPER,他们,replaces {He} in other strings,Él,Iel,Er,Loro,Eles,他們
PRONOUN_THEYRE_LOWER,他们是,replaces {he's} in other strings,él,,er ist,loro sono,eles estão,他們是
PRONOUN_THEYRE_UPPER,他们是,replaces {He's} in other strings,Él,,Er ist,Loro sono,Eles estão,他們是
PRONOUN_THEIR_LOWER,他们的,replaces {his} in other strings,él,,sein,loro,deles,他們的
PRONOUN_THEIR_UPPER,他们的,replaces {His} in other strings,Él,,Sein,loro,Deles,他們的
PRONOUN_THEM_LOWER,他们,replaces {him} in other strings,él,ellui,ihn,loro,a eles,他們
PRONOUN_THEM_UPPER,他们,replaces {Him} in other strings,Él,Ellui,Ihn,loro,A eles,他們
PRONOUN_THEMSELF_LOWER,他们自己,replaces {himself} in other strings,él,,er selbst,loro stessi,eles mesmos,他們自己
PRONOUN_THEMSELF_UPPER,他们自己,replaces {Himself} in other strings,Él,,Er selbst,Loro stessi,Eles mesmos,他們自己
,,,,,,,,
CATNAME_UNKNOWN_NAME,未知,replaces {Catname} in other strings if there was no cat specified (usually an error message),Desconocido,Inconnu,Unbekannt,Sconosciuto,Desconhecido,未知
CATNAME_UNKNOWN_NAME_POSSESSIVE,未知的,replaces {Catname's} in other strings if there was no cat specified (usually an error message),Desconocido,d'Inconnu,Unbekannts,Sconosciuto,de desconhecido,未知的
,,,,,,,,
CATNAME_POSSESSIVE_FORMAT,{Catname}的,"(adds an 's onto catname in english, can do whatever in other languages)",{Catname},,{Catname}s,{Catname},de {Catname},{Catname}的
CATNAME_POSSESSIVE_FORMAT_M,,,,,,,,
CATNAME_POSSESSIVE_FORMAT_F,,,,,,,,
CATNAME_POSSESSIVE_FORMAT_N,,,,,,,,
